# clause	title  (generated by scripts/extract_clause_index.py from the Rules of Play PDF)
1.0	INTRODUCTION
1.1	General Course of Play
1.2	Components
1.3	Game Board and Map
1.3.1	Map
1.3.2	Calendar
1.4	Influence
1.4.1	Influence Points
1.4.2	Check Influence
1.5	Lords and Vassals
1.5.1	Lords
1.5.2	Ratings
1.5.3	Lord Mats
1.5.4	Vassals
1.6	Forces
1.7	Assets
1.7.1	Accounting
1.7.2	Greed
1.7.3	English Ships
1.8	Other Markers
1.9	Cards
1.9.1	Arts of War
1.9.2	Command Cards
2.0	SETUP AND CALENDAR
2.1	Setup
2.1.1	Lay Out
2.1.2	Scenarios
2.2	Calendar
2.2.1	Turns
2.2.2	Marking Time
2.2.3	Marking Readiness and Service
2.2.4	Player Order
3.0	LEVY
3.1	Arts of War
3.1.1	Shuffle
3.1.2	Draw Capabilities
3.1.3	Draw Events
3.1.4	Greed
3.2	Pay
3.2.1	Pay Troops
3.2.2	Pay Lords
3.2.3	Pay Vassals
3.2.4	Disband
3.3	Exiles and Vassals
3.3.1	Muster Exiles
3.3.2	Ready Vassals
3.4	Muster
3.4.1	Parley
3.4.2	Levy Lord
3.4.3	Levy Vassal
3.4.4	Levy Troops
3.4.5	Levy Transport
3.4.6	Levy Capability
4.0	CAMPAIGN
4.1	Plan
4.1.1	Selecting Cards
4.1.2	Arranging Stacks
4.2	Command
4.2.1	Actions
4.2.2	Command Menu
4.2.3	Pass Card
4.3	March
4.3.1	Group March
4.3.2	Haul
4.3.3	March Speed
4.3.4	Intercept
4.3.5	Approach
4.4	Battle
4.4.1	Battle Array
4.4.2	Rounds
4.4.3	Ending the Battle
4.4.4	Aftermath
4.5	Supply
4.5.1	Sources and Routes
4.5.2	Add Provender
4.6	Other Commands
4.6.1	Sail
4.6.2	Forage
4.6.3	Tax
4.6.4	Parley
4.6.5	Pass
4.7	Feed
4.8	End Campaign
4.8.1	Tides of War
4.8.2	Disembark
4.8.3	Victory Check
4.8.4	Grow
4.8.5	Waste
4.8.6	Reset
5.0	VICTORY
5.1	Campaign Victory
5.2	Threshold Victory
5.3	Scenario End Victory
6.0	SCENARIOS
6.1	Respite and War
6.1.1	Surrender
6.1.2	Renewed War
6.2	Heirs and Succession
6.2.1	Heirs
6.2.2	Succession
6.3	The Wars
